name,height,level,feature,route_distance,prefecture
鳳凰山<観音ヶ岳>,2841,中級,野呂川を挟み、北岳をはじめとした白峰（しらね）三山と対峙する。山名については古から諸説があったといわれるが、現在は、観音ヶ岳（最高峰）、地蔵ヶ岳、薬師ヶ岳の３つのピークを合わせて鳳凰三山と呼ぶのがふつう。『日本百名山』では「鳳凰山」の名称が使われている。東面の山麓にある青木鉱泉と御座石鉱泉がおもな登山口となり、どちらからも長く急な登りが続く。一方、南の夜叉神峠から鳳凰三山へと続く稜線を歩く縦走路は、夜叉神峠までの登りが楽なうえ、稜線上に山小屋も立つことから南アルプス縦走の入門コースとして人気が高い。森林限界を超えた尾根筋には、鳳凰三山の固有種・ホウオウシャジンや南アルプス固有のタカネビランジなどの希少種が咲く,23.5,"山梨,中部,甲信越,東海,南アルプス"
北岳,3193,中級,山梨県南アルプス市の西部にそびえ、高山にしては珍しく県境・市境上に位置しない。北岳一帯はかつて白峰、白根、白嶺などと呼ばれ、古今和歌集にも白嶺の名で登場している。いまも北岳とその南に連なる間ノ岳、農鳥岳は白峰三山（しらねさんざん）の名で親しまれている。北岳登山の起点は山頂北東の広河原。路線バスまたは乗合タクシーでのみアプローチが可能だ。８月まで雪渓の残る大樺沢か白根御池を経て山頂へ至る。花の最盛期は７月上～下旬だが、この時期の週末は山頂北面と南面の２軒の山小屋が大混雑するので、可能なら平日の登山がおすすめ。通常、北岳は１泊２日の行程となるが、間ノ岳と農鳥岳を含めた白峰三山の縦走には２泊３日が必要で、レベルも一段上がる。,10.1,"山梨,中部,甲信越,東海,南アルプス"
間ノ岳,3190,中級,山梨県と静岡県にまたがり、日本で３番目に高い山。知名度こそやや低いものの、北岳から農鳥岳へと続く白峰（しらね）三山の真ん中に位置し、巨体揃いの南アルプスの山々のなかでもトップクラスの大きさを誇る。山麓から直接登る登山道がないために、白峰三山の縦走中に立ち寄る山として捉えられているが、もしこの山が独立峰として存在していたなら、北岳にもひけをとらない南アルプスを代表する山のひとつとなっていたことだろう。大パノラマの山頂は広々とし、濃霧が出ているときは農鳥岳方面と、塩見岳に続く稜線上にある三峰岳方面への道とを間違える危険もあるので注意が必要だ。なお間ノ岳山頂へは北岳山荘から約２時間、山頂から農鳥小屋へは約１時間見ておくといい。,17,"山梨,静岡,中部,甲信越,東海,南アルプス"
塩見岳,3047,中級,静岡市と長野県伊那市の境界に立つ鋭峰。南アルプスのちょうど中央に位置し、北部とも南部とも言いづらい独立峰的な雰囲気を持つ山だ。いずれも3000ｍ峰の東峰と西峰が並ぶ山頂一帯は、南アルプスでは少数派の岩場帯を擁し、それまでの原生林やお花畑の道とは好対照をなしてバラエティに富んだ山歩きが味わえる。仙丈ヶ岳や間ノ岳、荒川岳などからの縦走路は別にして、山頂に至るコースは長野県大鹿村の鳥倉登山口から三伏峠を経由する１本のみで、夏は登山口までバスも運行される。かつては大鹿村鹿塩からの塩川コース、最短路でもあった伊那市三峰川からの塩見新道があったが、いずれも登山道や林道の崩壊などによって通行止めとなっている。復旧は当面なさそうだ。,24.4,"長野,静岡,中部,甲信越,東海,南アルプス"
白山,2702,中級,"富士山、立山とともに日本三霊山とされ、日本百名山でもある白山は、石川県と岐阜県にまたがる標高2,702mの山。花が多く、ハクサンコザクラをはじめ「ハクサン」の名がつく植物は約20種を数える。最高峰の御前峰と第二の高みである大汝峰、剣ヶ峰からなり、その周囲には翠ヶ池や紺屋ヶ池などの山上池が点在する。有人小屋は山頂南直下の白山室堂と、そこらかさらに少し下った南竜山荘で、あとは大半が避難小屋。山頂へは石川県側の別当出合起点の周回コース（砂防新道～観光新道）が人気だが、岐阜県側の大白川からの平瀬道はブナやミズナラ、ダケカンバの林が広がり、趣がある。ハイシーズンでも登山者が少なく、静かに歩くことができるコースだ。",12.1,"石川,岐阜,東海,北陸,中部"
荒島岳,1523,中級,"福井県大野市の南東に位置する荒島岳は、泰澄大師によって開山されたと伝わる信仰の山。山頂には荒島神社が建ち、荒島大権現の祠が祀られている。標高1,523mと高くはないが、大野盆地からすっくと立つ風格ある姿から「大野富士」と称される。登山コースは4本あり、北面の勝原（かどはら）コースと西面の中出（なかんで）コースが一般的。登山道を覆うブナ林、カタクリやリンドウなどの花々、山頂を彩るお花畑と見どころも多い。独立峰で四方にさえぎるものがないので、山頂からは御嶽山や乗鞍岳、白山連峰などの大パノラマが眺められる。初夏の花、秋の紅葉のほか、雪山経験者ならブナ林の樹氷が見られる厳冬期もおすすめだ。",8.6,"福井,北陸"
伊吹山,1377,中級,滋賀県と岐阜県の県境に位置する日本百名山で、山頂部は滋賀県側にある。ドライブウェイによりアクセスがよく、登山だけではなく観光、自転車のヒルクライムやスキーなど様々な楽しみ方で親しまれている山である。自然保護などを目的に入山協力金を導入した数少ない山のひとつ。新･花の百名山にも選ばれており、この山で発見されたイブキジャコウソウをはじめ、シモツケソウなどが一面に咲く山頂部のお花畑はみごとだ。花の最盛期は盛夏だが、山麓から登る場合は日光を浴び続けることで体力の消耗が激しく、そのために夕方から登り始めて山頂にある３軒の山小屋で仮眠（有料）し、御来光を迎える夜間登山がいまも盛んに行われている。体力に自信がなければ、伊吹登山口からのコース途中の３合目までタクシーで行くか、伊吹スカイラインを利用するといい。冬は雪がたいへん多く、本格的な冬山装備が必要となる。,10.3,"岐阜,滋賀,東海,中部,近畿,関西"
大台ヶ原(日出ヶ岳),1695,初級,三重・奈良県境の台高山脈に位置する、日本百名山・大台ヶ原山。その最高点が標高1695mの日出ヶ岳だ。大台ヶ原はダイナミックな景観が展開する東大台と、豊かな樹林が広がる西大台（入山には事前申請とレクチャーの受講が必要）に分類され、日出ヶ岳は東大台に属する。熊野灘や大峰山脈、条件がよければ遠く富士山をも望む山頂へは、バス便がある大台ヶ原駐車場から40分ほど。ただこれだけでは物足りないので、絶景が広がる大蛇嵓や、立ち枯れのトウヒが立つ正木ヶ原などセットにした一周約4時間の周回コースがおすすめ。登山適期は5月上旬～11月中旬。日本有数の降雨量のあるエリアだけに、雨への対策は万全に。,3.9,"三重,奈良,近畿,関西"
大峰山(八経ヶ岳),1915,中級,"2004年に世界遺産に登録された大峰奧駈道、その中核をなすのが八経ヶ岳（別名八剣山、仏経ヶ岳）だ。奈良県天川村と上北山村の境にあり、標高1,915mは関西の最高峰である。大峰山は日本百名山に選定されているが、この山が登山対象と言ってよいだろう。山頂部にはシラビソやトウヒの原生林やオオヤマレンゲの群落（ともに国の天然記念物）があり、後者は7月上旬～中旬にかけて香りのよい花をつける。最も登りやすいのは、国道309号の行者還トンネル西口から奧駈道に上がり、「大峰中興の祖」理源大師聖宝坐像がある聖宝ノ宿跡を経て山頂に立つコース（山頂まで約3時間）。山頂北面・弥山直下に弥山小屋（4月下旬～11月中旬営業）がある。",9.4,"奈良,近畿,関西"
大山,1729,初級,"鳥取県大山町に位置する大山は、その秀麗な姿から「伯耆富士」とも呼ばれる中国地方の最高峰。『出雲風土記』に火神岳（ほのがみのたけ）の名で登場する。最高点の剣ヶ峰（標高1,729m）は崩壊により立入禁止で、西側の弥山（標高1,709m）が実質的な山頂。弥山山頂からは、弓ヶ浜が弧を描く日本海や、南東の烏ヶ山や北東の甲ヶ山など周辺の山々が見渡せる。山頂へは大山寺バス停を起点とする2コース（夏山登山道、行者コース）があり、5合目上部で合流する。いずれのコースもよく整備され、登り下りで使い分けるとよいだろう。登山道には西日本最大級のブナ林や特別天然記念物のダイセンキャラボク群生地など見どころも豊富で、花も多い。",8.3,"鳥取,中国"
剣山,1955,初級,"剣山は、徳島県美馬市、三好市、那賀郡那賀町の境にある標高1,955mの山。徳島県の最高峰であり、西日本でも同じ四国（愛媛県）の石鎚山に次ぐ第二の高峰だ。山名の印象とは異なる女性的な山容で、山頂部は木道が敷かれた「平家の馬場」と呼ばれる広い笹原になっている。山頂からは徳島県第二の高峰・次郎笈（じろうぎゅう）、遠く石鎚山を望むこともできる。登山コースは複数あり、代表的な登山口は劔神社が建つ北面の見ノ越。ここを起点に登山リフトを利用すれば、1時間ほどで山頂に立てる。危険箇所も少なく、子ども連れでも無理なく登ることができる。7～8月にかけて、宮尾登美子の小説『天涯の花』で紹介されたキレンゲショウマの黄色い花が見られる。",4.7,"徳島,四国"
石鎚山,1982,中級,"愛媛県西条市と上浮穴郡久万高原町にまたがる石鎚山（標高1,982m）は、四国および西日本の最高峰。長大な鎖場が有名で、紅葉の時期には色付くもみじを鑑賞に多くの登山客が集まる。ロープウェイでアクセスできる石鎚登山の遥拝所・成就社を起点として、岩場につけられた４つの鎖を頼って登るのが石鎚登山の醍醐味だが、鎖場には迂回路が設けられているので、一般にはそれを利用するのがよい。役小角の開山とされ、山岳信仰の山として栄えてきた。石鎚スカイラインからの姿はピラミッド型、西の面河（おもご）方面からは岩峰がそそり立ち、東の瓶ヶ森付近からは重厚な姿を見せる。天狗岳、弥山、南尖峰など複数のピークをもち、最高峰は岩峰状の天狗岳。弥山には石鎚山頂神社がある。山頂からは四国山地や瀬戸内海を見渡すことができる。",8.5,"愛媛,四国"
九重山,1791,初級,大分県南西部に位置する、くじゅう連山の主峰（最高峰は中岳・1791ｍ）。この山の名称については、久住山と九重山との２つの表記が混同して使われていたが、県では主峰そのものは「久住山」、山域の場合は「くじゅう連山」の表記を公式としている。阿蘇くじゅう国立公園に含まれる九州随一の人気の山で、ミヤマキリシマの咲く５月中旬～６月中旬頃（年により変動あり）の休日は、牧ノ戸峠からのメインコースに登山者が殺到する。久住山そのものは日帰りで歩ける山だが、九州最高所の温泉、法華院温泉山荘や坊がつるのキャンプ場で一泊すれば、大船山や三俣山にも足を延ばすことができる。くじゅう連山は活火山でもあるので、出かける際は情報収集を怠らないように。,4.9,"大分,九州"
祖母山,1756,中級,"日本百名山の一峰で、大分県竹田市と豊後大野市、宮崎県高千穂町の境に位置する。山頂には山名の由来となった神武天皇の祖母・豊玉姫の祠が祀られている。遮るもののない大展望が広がる山頂への登山口はいくつもあるが、大分県側の尾平と神原、宮崎県側の北谷がメイン。険しいコースが多い中、北谷から三県境を経由するコースは唯一登りやすい。日帰りでも楽しめる山だが、9合目には避難小屋があるので、小屋泊やテント泊でゆっくりとこの山の時間を楽しむのもよいだろう。体力や日程に余裕があれば、九州の岳人憧れの祖母・傾縦走路にチャレンジしたい。全長約40km・累積標高差約3,500mのハードな道のりだが、山域の奥深さと雄大さに最も触れられる。",7.3,"大分,宮崎,九州"
阿蘇山,1592,中級,熊本県北東部に位置する二重式火山で、阿蘇五岳と呼ばれる高岳（最高峰）・中岳・根子岳・烏帽子岳・杵島岳、さらにそれらを取り囲む周囲約128kmの外輪山を含めた総称。阿蘇山によってつくられた阿蘇カルデラは北海道の屈斜路湖カルデラに次いで日本で2番目に大きく、世界でも最大級だ。火山活動は現在でも活発。休止中だった阿蘇山ロープウェーだが、2019年（令和元）末に再建を断念した。中岳火口へのアクセスは今後、阿蘇山ループシャトル（バス）を継続運行する予定。ただし、運行は、噴火警戒レベルが１の場合のみとなる。,5.7,"熊本,九州"
霧島山(韓国岳),1700,初級,"韓国岳（標高1,700m）は、宮崎県えびの市と小林市、鹿児島県霧島市の境にある霧島連山の最高峰。遠く韓の国まで見渡せるということから山名がつけられたともいわれるほど、展望がよい。山頂からは眼下にえびの高原が広がり、火口湖の大浪池、同じ霧島連山の獅子戸岳、新燃岳、中岳、高千穂峰を一望。山麓のえびの高原には、キリシマミズキ、ノカイドウ、ミヤマキリシマなどが生育し、特に4月下旬に咲くノカイドウはえびの高原にだけ生育する国の天然記念物。主な登山道はえびの高原起点の2コースと、大浪池登山口から（約1時間半～2時間半）。火山活動が盛んなため、登山の際は宮崎県のホームページなどをチェックしておこう。",4.7,"宮崎,鹿児島,九州"
